indexOfdf,Id,ColumnName,Original,Modified,ErrorType,Fixing
3179,71565985,Salary,,nan,Missing Value,Changed to nan
3203,67656713,Salary,,nan,Missing Value,Changed to nan
3222,68360221,Salary,,nan,Missing Value,Changed to nan
3245,70782120,Salary,,nan,Missing Value,Changed to nan
3246,70782363,Salary,,nan,Missing Value,Changed to nan
3265,71760871,Salary,,nan,Missing Value,Changed to nan
3281,71760527,Salary,,nan,Missing Value,Changed to nan
3303,72128501,Salary,,nan,Missing Value,Changed to nan
3311,72127459,Salary,,nan,Missing Value,Changed to nan
3325,69546457,Salary,,nan,Missing Value,Changed to nan
3345,68360304,Salary,,nan,Missing Value,Changed to nan
3390,72346288,Salary,,nan,Missing Value,Changed to nan
3409,72128045,Salary,,nan,Missing Value,Changed to nan
3420,69043010,Salary,,nan,Missing Value,Changed to nan
3436,69940494,Salary,,nan,Missing Value,Changed to nan
3439,69037265,Salary,,nan,Missing Value,Changed to nan
3442,71565908,Salary,,nan,Missing Value,Changed to nan
3479,70782885,Salary,,nan,Missing Value,Changed to nan
3495,69043501,Salary,,nan,Missing Value,Changed to nan
3517,71760215,Salary,,nan,Missing Value,Changed to nan
3519,72127146,Salary,,nan,Missing Value,Changed to nan
3528,71565031,Salary,,nan,Missing Value,Changed to nan
3566,68360395,Salary,,nan,Missing Value,Changed to nan
3591,70781877,Salary,,nan,Missing Value,Changed to nan
3597,70781915,Salary,,nan,Missing Value,Changed to nan
3638,72127376,Salary,,nan,Missing Value,Changed to nan
3644,68360919,Salary,,nan,Missing Value,Changed to nan
3656,71563379,Salary,,nan,Missing Value,Changed to nan
3705,69545564,Salary,,nan,Missing Value,Changed to nan
3724,69546285,Salary,,nan,Missing Value,Changed to nan
3746,68360872,Salary,,nan,Missing Value,Changed to nan
3769,72346390,Salary,,nan,Missing Value,Changed to nan
3779,71566372,Salary,,nan,Missing Value,Changed to nan
3819,72127908,Salary,,nan,Missing Value,Changed to nan
3825,70782091,Salary,,nan,Missing Value,Changed to nan
3830,70783494,Salary,,nan,Missing Value,Changed to nan
3834,69037963,Salary,,nan,Missing Value,Changed to nan
3839,69546277,Salary,,nan,Missing Value,Changed to nan
3866,71306799,Salary,,nan,Missing Value,Changed to nan
3868,72127671,Salary,,nan,Missing Value,Changed to nan
3873,72127626,Salary,,nan,Missing Value,Changed to nan
3902,69042501,Salary,,nan,Missing Value,Changed to nan
3916,68360253,Salary,,nan,Missing Value,Changed to nan
3948,67304934,Salary,,nan,Missing Value,Changed to nan
3955,72127196,Salary,,nan,Missing Value,Changed to nan
3959,71760773,Salary,,nan,Missing Value,Changed to nan
3964,71564941,Salary,,nan,Missing Value,Changed to nan
4021,69042634,Salary,,nan,Missing Value,Changed to nan
4029,69041672,Salary,,nan,Missing Value,Changed to nan
4048,71759958,Salary,,nan,Missing Value,Changed to nan
4138,70783118,Salary,,nan,Missing Value,Changed to nan
4149,72128822,Salary,,nan,Missing Value,Changed to nan
4157,69038476,Salary,,nan,Missing Value,Changed to nan
4244,71566541,Salary,,nan,Missing Value,Changed to nan
4258,70412499,Salary,,nan,Missing Value,Changed to nan
4261,69043305,Salary,,nan,Missing Value,Changed to nan
4272,71761071,Salary,,nan,Missing Value,Changed to nan
4292,71306276,Salary,,nan,Missing Value,Changed to nan
4306,72128015,Salary,,nan,Missing Value,Changed to nan
4318,66609559,Salary,,nan,Missing Value,Changed to nan
4336,71307192,Salary,,nan,Missing Value,Changed to nan
4385,72128799,Salary,,nan,Missing Value,Changed to nan
4443,71565543,Salary,,nan,Missing Value,Changed to nan
4447,69546608,Salary,,nan,Missing Value,Changed to nan
4457,68358954,Salary,,nan,Missing Value,Changed to nan
4460,69042776,Salary,,nan,Missing Value,Changed to nan
4468,71306645,Salary,,nan,Missing Value,Changed to nan
4528,72128112,Salary,,nan,Missing Value,Changed to nan
4538,69546469,Salary,,nan,Missing Value,Changed to nan
4565,72127852,Salary,,nan,Missing Value,Changed to nan
4578,71760078,Salary,,nan,Missing Value,Changed to nan
4582,69043276,Salary,,nan,Missing Value,Changed to nan
4601,69544509,Salary,,nan,Missing Value,Changed to nan
4619,68360627,Salary,,nan,Missing Value,Changed to nan
4659,71305485,Salary,,nan,Missing Value,Changed to nan
4663,69546580,Salary,,nan,Missing Value,Changed to nan
4698,69546654,Salary,,nan,Missing Value,Changed to nan
4723,69041946,Salary,,nan,Missing Value,Changed to nan
4738,70781334,Salary,,nan,Missing Value,Changed to nan
4754,68545323,Salary,-,nan,Missing Value,Changed to nan
4769,71857413,Salary,-,nan,Missing Value,Changed to nan
4770,72460365,Salary,-,nan,Missing Value,Changed to nan
4789,69687305,Salary,-,nan,Missing Value,Changed to nan
4864,68807182,Salary,-,nan,Missing Value,Changed to nan
4876,72479340,Salary,-,nan,Missing Value,Changed to nan
4893,71685780,Salary,-,nan,Missing Value,Changed to nan
4917,69687076,Salary,-,nan,Missing Value,Changed to nan
4959,68347026,Salary,-,nan,Missing Value,Changed to nan
4970,71444988,Salary,-,nan,Missing Value,Changed to nan
5006,69249740,Salary,-,nan,Missing Value,Changed to nan
5013,68346412,Salary,-,nan,Missing Value,Changed to nan
5051,68180161,Salary,-,nan,Missing Value,Changed to nan
5080,69250939,Salary,-,nan,Missing Value,Changed to nan
5089,68179972,Salary,-,nan,Missing Value,Changed to nan
5126,71199004,Salary,-,nan,Missing Value,Changed to nan
5134,69669609,Salary,-,nan,Missing Value,Changed to nan
5151,68806651,Salary,-,nan,Missing Value,Changed to nan
5153,68545304,Salary,-,nan,Missing Value,Changed to nan
5186,69250925,Salary,-,nan,Missing Value,Changed to nan
5187,71199224,Salary,-,nan,Missing Value,Changed to nan
5202,71199499,Salary,-,nan,Missing Value,Changed to nan
5220,72484784,Salary,-,nan,Missing Value,Changed to nan
5230,72690539,Salary,-,nan,Missing Value,Changed to nan
5251,71226611,Salary,-,nan,Missing Value,Changed to nan
5259,68346861,Salary,-,nan,Missing Value,Changed to nan
5281,68346745,Salary,-,nan,Missing Value,Changed to nan
5289,68806742,Salary,-,nan,Missing Value,Changed to nan
5291,71856107,Salary,-,nan,Missing Value,Changed to nan
5307,69250351,Salary,-,nan,Missing Value,Changed to nan
5317,72679483,Salary,-,nan,Missing Value,Changed to nan
5320,68180031,Salary,-,nan,Missing Value,Changed to nan
5324,68347463,Salary,-,nan,Missing Value,Changed to nan
5334,72690272,Salary,-,nan,Missing Value,Changed to nan
5339,68346995,Salary,-,nan,Missing Value,Changed to nan
5344,71444085,Salary,-,nan,Missing Value,Changed to nan
5367,69687041,Salary,-,nan,Missing Value,Changed to nan
5379,72481084,Salary,-,nan,Missing Value,Changed to nan
5381,72688807,Salary,-,nan,Missing Value,Changed to nan
5390,68346308,Salary,-,nan,Missing Value,Changed to nan
5418,68182091,Salary,-,nan,Missing Value,Changed to nan
5426,71444305,Salary,-,nan,Missing Value,Changed to nan
5429,70676752,Salary,-,nan,Missing Value,Changed to nan
5435,71857172,Salary,-,nan,Missing Value,Changed to nan
5487,71469886,Salary,-,nan,Missing Value,Changed to nan
5506,66908024,Salary,-,nan,Missing Value,Changed to nan
5550,70676381,Salary,-,nan,Missing Value,Changed to nan
5557,71857151,Salary,-,nan,Missing Value,Changed to nan
5562,72479971,Salary,-,nan,Missing Value,Changed to nan
5580,68347458,Salary,-,nan,Missing Value,Changed to nan
5584,71199680,Salary,-,nan,Missing Value,Changed to nan
5593,72679922,Salary,-,nan,Missing Value,Changed to nan
5599,68181929,Salary,-,nan,Missing Value,Changed to nan
5638,68545460,Salary,-,nan,Missing Value,Changed to nan
5662,71857352,Salary,-,nan,Missing Value,Changed to nan
5677,69686858,Salary,-,nan,Missing Value,Changed to nan
5714,72460051,Salary,-,nan,Missing Value,Changed to nan
5724,69688355,Salary,-,nan,Missing Value,Changed to nan
5755,71857277,Salary,-,nan,Missing Value,Changed to nan
5783,71444380,Salary,-,nan,Missing Value,Changed to nan
5789,72688830,Salary,-,nan,Missing Value,Changed to nan
5813,72688725,Salary,-,nan,Missing Value,Changed to nan
5869,72691154,Salary,-,nan,Missing Value,Changed to nan
5879,71856320,Salary,-,nan,Missing Value,Changed to nan
5898,68806683,Salary,-,nan,Missing Value,Changed to nan
5948,72690694,Salary,-,nan,Missing Value,Changed to nan
5965,69250938,Salary,-,nan,Missing Value,Changed to nan
6013,68806140,Salary,-,nan,Missing Value,Changed to nan
6015,70676429,Salary,-,nan,Missing Value,Changed to nan
6018,68346905,Salary,-,nan,Missing Value,Changed to nan
6041,68182220,Salary,-,nan,Missing Value,Changed to nan
6066,69250887,Salary,-,nan,Missing Value,Changed to nan
6083,69249743,Salary,-,nan,Missing Value,Changed to nan
6125,71444704,Salary,-,nan,Missing Value,Changed to nan
6146,72679529,Salary,-,nan,Missing Value,Changed to nan
6149,72481041,Salary,-,nan,Missing Value,Changed to nan
6171,68182200,Salary,-,nan,Missing Value,Changed to nan
6175,68346791,Salary,-,nan,Missing Value,Changed to nan
6202,68544849,Salary,-,nan,Missing Value,Changed to nan
6203,71686015,Salary,-,nan,Missing Value,Changed to nan
6226,69669690,Salary,-,nan,Missing Value,Changed to nan
6239,71685116,Salary,-,nan,Missing Value,Changed to nan
6249,71444254,Salary,-,nan,Missing Value,Changed to nan
6257,68806504,Salary,-,nan,Missing Value,Changed to nan
6265,68806708,Salary,-,nan,Missing Value,Changed to nan
6296,72690834,Salary,-,nan,Missing Value,Changed to nan
6309,72480750,Salary,-,nan,Missing Value,Changed to nan
6339,72481756,Salary,-,nan,Missing Value,Changed to nan
6341,71198710,Salary,-,nan,Missing Value,Changed to nan
6345,67947825,Salary,-,nan,Missing Value,Changed to nan
6362,69669603,Salary,-,nan,Missing Value,Changed to nan
6377,72689483,Salary,-,nan,Missing Value,Changed to nan
6383,68181922,Salary,-,nan,Missing Value,Changed to nan
6457,71856745,Salary,-,nan,Missing Value,Changed to nan
6461,68346948,Salary,-,nan,Missing Value,Changed to nan
6503,72679825,Salary,-,nan,Missing Value,Changed to nan
6523,71444188,Salary,-,nan,Missing Value,Changed to nan
6587,72691313,Salary,-,nan,Missing Value,Changed to nan
6616,68347148,Salary,-,nan,Missing Value,Changed to nan
6688,67947810,Salary,-,nan,Missing Value,Changed to nan
6700,72480680,Salary,-,nan,Missing Value,Changed to nan
6701,68806397,Salary,-,nan,Missing Value,Changed to nan
6708,68544992,Salary,-,nan,Missing Value,Changed to nan
6740,72479660,Salary,-,nan,Missing Value,Changed to nan
6741,68806616,Salary,-,nan,Missing Value,Changed to nan
6745,72248412,Salary,-,nan,Missing Value,Changed to nan
6792,71685830,Salary,-,nan,Missing Value,Changed to nan
6850,68346934,Salary,-,nan,Missing Value,Changed to nan
6887,68181006,Salary,-,nan,Missing Value,Changed to nan
6905,71893364,Salary,-,nan,Missing Value,Changed to nan
6933,70078060,Salary,-,nan,Missing Value,Changed to nan
6953,68181351,Salary,-,nan,Missing Value,Changed to nan
6968,72679935,Salary,-,nan,Missing Value,Changed to nan
7005,72479500,Salary,-,nan,Missing Value,Changed to nan
7038,71444065,Salary,-,nan,Missing Value,Changed to nan
7053,67948826,Salary,-,nan,Missing Value,Changed to nan
7079,67960904,Salary,-,nan,Missing Value,Changed to nan
7097,69250525,Salary,-,nan,Missing Value,Changed to nan
7100,70676870,Salary,-,nan,Missing Value,Changed to nan
7103,70689145,Salary,-,nan,Missing Value,Changed to nan
7113,69250634,Salary,-,nan,Missing Value,Changed to nan
7114,71856074,Salary,-,nan,Missing Value,Changed to nan
7128,69669540,Salary,-,nan,Missing Value,Changed to nan
7136,71856251,Salary,-,nan,Missing Value,Changed to nan
7186,68347524,Salary,-,nan,Missing Value,Changed to nan
7282,68806936,Salary,-,nan,Missing Value,Changed to nan
7304,68182060,Salary,-,nan,Missing Value,Changed to nan
7314,72679431,Salary,-,nan,Missing Value,Changed to nan
7319,68346752,Salary,-,nan,Missing Value,Changed to nan
7345,68181078,Salary,-,nan,Missing Value,Changed to nan
7366,70677145,Salary,-,nan,Missing Value,Changed to nan
7382,70676376,Salary,-,nan,Missing Value,Changed to nan
7387,71199185,Salary,-,nan,Missing Value,Changed to nan
7409,69670792,Salary,-,nan,Missing Value,Changed to nan
7415,72679420,Salary,-,nan,Missing Value,Changed to nan
7434,68346694,Salary,-,nan,Missing Value,Changed to nan
7438,71199178,Salary,-,nan,Missing Value,Changed to nan
7470,67947053,Salary,-,nan,Missing Value,Changed to nan
7485,71685828,Salary,-,nan,Missing Value,Changed to nan
7496,72480729,Salary,-,nan,Missing Value,Changed to nan
7516,68346908,Salary,-,nan,Missing Value,Changed to nan
7524,68544960,Salary,-,nan,Missing Value,Changed to nan
7534,70676614,Salary,-,nan,Missing Value,Changed to nan
7547,70677227,Salary,-,nan,Missing Value,Changed to nan
7624,68347715,Salary,-,nan,Missing Value,Changed to nan
7689,71856713,Salary,-,nan,Missing Value,Changed to nan
7702,72460301,Salary,-,nan,Missing Value,Changed to nan
7714,68545114,Salary,-,nan,Missing Value,Changed to nan
7721,68347400,Salary,-,nan,Missing Value,Changed to nan
7741,71197992,Salary,-,nan,Missing Value,Changed to nan
7766,72460018,Salary,-,nan,Missing Value,Changed to nan
7817,71685101,Salary,-,nan,Missing Value,Changed to nan
7823,68180786,Salary,-,nan,Missing Value,Changed to nan
7877,67947299,Salary,-,nan,Missing Value,Changed to nan
7902,71685292,Salary,-,nan,Missing Value,Changed to nan
7907,68347179,Salary,-,nan,Missing Value,Changed to nan
7923,68806712,Salary,-,nan,Missing Value,Changed to nan
7932,69250402,Salary,-,nan,Missing Value,Changed to nan
7951,71856767,Salary,-,nan,Missing Value,Changed to nan
7985,71685224,Salary,-,nan,Missing Value,Changed to nan
8020,71856218,Salary,-,nan,Missing Value,Changed to nan
8038,72691756,Salary,-,nan,Missing Value,Changed to nan
8069,69250708,Salary,-,nan,Missing Value,Changed to nan
8087,70599041,Salary,,nan,Missing Value,Changed to nan
8103,71798984,Salary,,nan,Missing Value,Changed to nan
8108,67103321,Salary,,nan,Missing Value,Changed to nan
8114,69548176,Salary,,nan,Missing Value,Changed to nan
8155,68449502,Salary,,nan,Missing Value,Changed to nan
8157,67443997,Salary,,nan,Missing Value,Changed to nan
8164,69551950,Salary,,nan,Missing Value,Changed to nan
8176,68450704,Salary,,nan,Missing Value,Changed to nan
8183,71082925,Salary,,nan,Missing Value,Changed to nan
8196,66755528,Salary,,nan,Missing Value,Changed to nan
8220,69552944,Salary,,nan,Missing Value,Changed to nan
8255,70433711,Salary,,nan,Missing Value,Changed to nan
8260,69961018,Salary,,nan,Missing Value,Changed to nan
8282,66741922,Salary,,nan,Missing Value,Changed to nan
8305,69554830,Salary,,nan,Missing Value,Changed to nan
8316,67443809,Salary,,nan,Missing Value,Changed to nan
8318,66536265,Salary,,nan,Missing Value,Changed to nan
8319,67447142,Salary,,nan,Missing Value,Changed to nan
8327,67441327,Salary,,nan,Missing Value,Changed to nan
8352,71798997,Salary,,nan,Missing Value,Changed to nan
8365,70187824,Salary,,nan,Missing Value,Changed to nan
8374,71082358,Salary,,nan,Missing Value,Changed to nan
8386,67776279,Salary,,nan,Missing Value,Changed to nan
8389,71764518,Salary,,nan,Missing Value,Changed to nan
8403,68237731,Salary,,nan,Missing Value,Changed to nan
8408,71343288,Salary,,nan,Missing Value,Changed to nan
8420,69768455,Salary,,nan,Missing Value,Changed to nan
8435,70589303,Salary,,nan,Missing Value,Changed to nan
8436,71081332,Salary,,nan,Missing Value,Changed to nan
8450,68239757,Salary,,nan,Missing Value,Changed to nan
8455,70433738,Salary,,nan,Missing Value,Changed to nan
8497,67108320,Salary,,nan,Missing Value,Changed to nan
8502,67774988,Salary,,nan,Missing Value,Changed to nan
8515,69769305,Salary,,nan,Missing Value,Changed to nan
8562,67447870,Salary,,nan,Missing Value,Changed to nan
8591,69955838,Salary,,nan,Missing Value,Changed to nan
8600,70599338,Salary,,nan,Missing Value,Changed to nan
8601,69769129,Salary,,nan,Missing Value,Changed to nan
8623,67246263,Salary,,nan,Missing Value,Changed to nan
8722,71332980,Salary,,nan,Missing Value,Changed to nan
8750,70583427,Salary,,nan,Missing Value,Changed to nan
8759,71572365,Salary,,nan,Missing Value,Changed to nan
8763,66543280,Salary,,nan,Missing Value,Changed to nan
8789,71343035,Salary,,nan,Missing Value,Changed to nan
8816,69768441,Salary,,nan,Missing Value,Changed to nan
8822,66744178,Salary,,nan,Missing Value,Changed to nan
8836,70205678,Salary,,nan,Missing Value,Changed to nan
8842,69952601,Salary,,nan,Missing Value,Changed to nan
8895,68451766,Salary,,nan,Missing Value,Changed to nan
8898,69148775,Salary,,nan,Missing Value,Changed to nan
8903,66744090,Salary,,nan,Missing Value,Changed to nan
8955,70590687,Salary,,nan,Missing Value,Changed to nan
8969,72354235,Salary,,nan,Missing Value,Changed to nan
8986,67448190,Salary,,nan,Missing Value,Changed to nan
9028,66748096,Salary,,nan,Missing Value,Changed to nan
9039,69551246,Salary,,nan,Missing Value,Changed to nan
9073,69551459,Salary,,nan,Missing Value,Changed to nan
9102,71080149,Salary,,nan,Missing Value,Changed to nan
9113,71792222,Salary,,nan,Missing Value,Changed to nan
9117,67443391,Salary,,nan,Missing Value,Changed to nan
9119,69960626,Salary,,nan,Missing Value,Changed to nan
9121,69145423,Salary,,nan,Missing Value,Changed to nan
9142,66542559,Salary,,nan,Missing Value,Changed to nan
9149,68238208,Salary,,nan,Missing Value,Changed to nan
9153,66549621,Salary,,nan,Missing Value,Changed to nan
9156,71570681,Salary,,nan,Missing Value,Changed to nan
9166,69960977,Salary,,nan,Missing Value,Changed to nan
9190,71572998,Salary,,nan,Missing Value,Changed to nan
9206,70599095,Salary,,nan,Missing Value,Changed to nan
9235,71572272,Salary,,nan,Missing Value,Changed to nan
9274,69952652,Salary,,nan,Missing Value,Changed to nan
9291,69554821,Salary,,nan,Missing Value,Changed to nan
9358,69956442,Salary,,nan,Missing Value,Changed to nan
9361,66537680,Salary,,nan,Missing Value,Changed to nan
9364,69956916,Salary,,nan,Missing Value,Changed to nan
9485,70205516,Salary,,nan,Missing Value,Changed to nan
9495,71756028,Salary,,nan,Missing Value,Changed to nan
9520,71764278,Salary,,nan,Missing Value,Changed to nan
9538,69759892,Salary,,nan,Missing Value,Changed to nan
9578,68448964,Salary,,nan,Missing Value,Changed to nan
9585,70186054,Salary,,nan,Missing Value,Changed to nan
9590,67442341,Salary,,nan,Missing Value,Changed to nan
9594,69956713,Salary,,nan,Missing Value,Changed to nan
9604,67447128,Salary,,nan,Missing Value,Changed to nan
9608,70206231,Salary,,nan,Missing Value,Changed to nan
9623,70206127,Salary,,nan,Missing Value,Changed to nan
9624,66748443,Salary,,nan,Missing Value,Changed to nan
9629,66543195,Salary,,nan,Missing Value,Changed to nan
9637,71302538,Salary,,nan,Missing Value,Changed to nan
9639,66749894,Salary,,nan,Missing Value,Changed to nan
9664,68449027,Salary,,nan,Missing Value,Changed to nan
9665,66747026,Salary,,nan,Missing Value,Changed to nan
9695,69760772,Salary,,nan,Missing Value,Changed to nan
9711,69769325,Salary,,nan,Missing Value,Changed to nan
9766,71601444,Salary,,nan,Missing Value,Changed to nan
9767,67443821,Salary,,nan,Missing Value,Changed to nan
9769,70774075,Salary,,nan,Missing Value,Changed to nan
9779,66538189,Salary,,nan,Missing Value,Changed to nan
9822,66538397,Salary,,nan,Missing Value,Changed to nan
9874,72564419,Salary,,nan,Missing Value,Changed to nan
9898,70435096,Salary,,nan,Missing Value,Changed to nan
9907,67107424,Salary,,nan,Missing Value,Changed to nan
9916,69542349,Salary,,nan,Missing Value,Changed to nan
9920,69147324,Salary,,nan,Missing Value,Changed to nan
9936,70187767,Salary,,nan,Missing Value,Changed to nan
9939,70805653,Salary,,nan,Missing Value,Changed to nan
9983,68239108,Salary,,nan,Missing Value,Changed to nan
9987,69937449,Salary,,nan,Missing Value,Changed to nan
10007,70807824,Salary,,nan,Missing Value,Changed to nan
10021,68791552,Salary,,nan,Missing Value,Changed to nan
10023,66079800,Salary,,nan,Missing Value,Changed to nan
10027,51128691,Salary,,nan,Missing Value,Changed to nan
10038,48293775,Salary,,nan,Missing Value,Changed to nan
10060,68288843,Salary,,nan,Missing Value,Changed to nan
10079,66965588,Salary,,nan,Missing Value,Changed to nan
10096,69858761,Salary,,nan,Missing Value,Changed to nan
10103,66751656,Salary,,nan,Missing Value,Changed to nan
10111,66906359,Salary,,nan,Missing Value,Changed to nan
10124,66559794,Salary,,nan,Missing Value,Changed to nan
10125,66565764,Salary,,nan,Missing Value,Changed to nan
10147,65868675,Salary,,nan,Missing Value,Changed to nan
10149,69637626,Salary,,nan,Missing Value,Changed to nan
10152,38209893,Salary,,nan,Missing Value,Changed to nan
10154,66751684,Salary,,nan,Missing Value,Changed to nan
10164,66582189,Salary,,nan,Missing Value,Changed to nan
